key,value,logvalue
1-00880_9,12008799.999999998,7.079499611947786
7-00280_9,72002800.0,7.857349385332727
9-00020_9,98000200.00000001,7.99122696200686
7-00300_9,70003000.0,7.845116652236079
3-00660_9,34006600.0,7.531563213083803
742_6,742.6,2.87075494489014
762_4,762.4,2.88218288763027
5-00440_9,56004400.0,7.748222148803583
29_8,29.8,1.4742162640762553
89_2,89.2,1.9503648543761232
2-09800_8,2009800.0,6.303152841889143
8-00200_9,80002000.0,7.903100844218276
8-00140_9,86001400.0,7.9345055210961934
2-00760_9,24007600.0,7.380348746527095
584_2,584.2,2.766561552637531
901_0,901.0,2.954724790979063
3-00680_9,32006800.0,7.505242256093144
2-00800_9,20008000.0,7.301203678722446
188_2,188.20000000000002,2.274619619091238
168_4,168.4,2.226342087163631
69_4,69.4,1.841359470454855
6-00360_9,64003600.0,7.806204402361453
247_6,247.60000000000002,2.3937506403480806
9-00060_9,94000600.00000001,7.9731306256832895
1-00840_9,16008400.0,7.204347927428655
881_2,881.2,2.94507448847873
722_8,722.8000000000001,2.8590181438888944
1-00860_9,14008600.0,7.146394734667958
8-00120_9,88001200.0,7.944488594307271
425_8,425.8,2.629205657102304
2-00780_9,22007800.0,7.342576630667203
6-09400_8,6009399.999999999,6.77883111265213
5-00420_9,58004200.0,7.763459441335083
5-00500_9,50005000.0,7.699013431612881
544_6,544.6,2.736077637003946
9-00100_9,90001000.0,7.95424733490676
3-00700_9,30007000.0,7.477222578278151
2-00740_9,26007400.0,7.415096937274947
227_8,227.8,2.3575537197430814
7-00220_9,78002200.0,7.892106851849277
703_0,703.0,2.846955325019824
8-00180_9,82001800.0,7.91382338557259
6-00320_9,68003200.0,7.832529349612756
10_0,10.0,1.0
386_2,386.2,2.5868122694433757
7-00260_9,74002600.0,7.8692469784582295
604_0,604.0,2.7810369386211318
6-00340_9,66003399.99999999,7.819566307711658
623_8,623.8000000000001,2.795045370421125
267_4,267.40000000000003,2.427161402925966
6-00400_9,60004000.0,7.778180202384048
406_0,405.99999999999994,2.608526033577194
643_6,643.6,2.808616035426992
5-00460_9,54004600.0,7.732430753703191
8-09200_8,8009200.0,6.9035891386888855
564_4,564.4,2.7515870050823104
4-00540_9,46005400.0,7.662808811085065
683_2,683.2,2.8345478576809486
128_8,128.8,2.1099158630237933
1-00820_9,18008200.0,7.255470305316211
940_6,940.6,2.9734049744100606
465_4,465.40000000000003,2.667826378950711
861_4,861.4,2.9352048674265814
2-00720_9,28007200.0,7.447269692710291
9-00080_9,92000800.0,7.963791603802892
980_2,980.2,2.9913146981766108
5-00480_9,52004800.0,7.716043430506071
6-00380_9,62003800.0,7.792418306731464
307_0,307.0,2.4871383754771865
287_2,287.2,2.4581844355702627
4-00580_9,42005800.0,7.623309260257102
821_8,821.8000000000001,2.9147661369258526
920_8,920.8000000000001,2.9641653106217354
1-000.0_6,10000.0,4.0
485_2,485.2,2.685920792194535
4-00600_9,40006000.0,7.602125130614923
346_6,346.6,2.539828558377898
1-00900_9,10009000.0,7.00039068924991
4-09600_8,4009600.0,6.603101049314056
4-00560_9,44005600.0,7.6435079468122105
782_2,782.1999999999999,2.893317811616112
524_8,524.8000000000001,2.719993826367604
326_8,326.8,2.514282047860378
148_6,148.6,2.1720188094245563
49_6,49.6,1.6954816764901974
505_0,505.0,2.7032913781186614
663_4,663.4000000000001,2.8217754671834636
960_4,960.4000000000001,2.9824521513849898
9-00040_9,96000400.0,7.98227304259614
4-00520_9,48005200.0,7.68128828339618
7-00240_9,76002400.0,7.880827306626837
3-00620_9,38006200.0,7.5798544494102345
8-00160_9,84001600.0,7.9242875582589445
109_0,109.0,2.037426497940624
208_0,208.0,2.3180633349627615
802_0,801.9999999999999,2.9041743682841634
445_6,445.6,2.6489451821656727
3-00640_9,36006400.0,7.55637970181307
366_4,366.40000000000003,2.563955464995813
841_6,841.6,2.925105726809664
